epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0398,1.46332,2.58402,1.04359,0.00995,0.72795,0.025,0.0145,1.20249,3.21085,0.91994,0.00054,0.00054,0.00054
2,26.4515,1.30409,1.31713,0.93518,1,0.14487,0.43075,0.26165,1.28277,3.04909,0.9555,0.00107822,0.00107822,0.00107822
3,38.515,1.2508,1.16022,0.92519,0.87443,0.37889,0.60706,0.37215,1.29841,2.23156,1.02435,0.00159426,0.00159426,0.00159426
4,49.9217,1.22236,1.04261,0.92106,0.94267,0.67871,0.81355,0.49057,1.2545,1.76149,0.97612,0.0018812,0.0018812,0.0018812
5,61.855,1.17192,0.93658,0.89947,0.92616,0.75305,0.83981,0.51887,1.16062,1.25828,0.96237,0.0018416,0.0018416,0.0018416
6,73.314,1.13465,0.86327,0.90289,0.89049,0.78612,0.85518,0.53434,1.16699,1.05299,0.94535,0.001802,0.001802,0.001802
7,85.2865,1.12718,0.82289,0.9033,0.91942,0.7921,0.86811,0.55635,1.24509,0.84352,1.04475,0.0017624,0.0017624,0.0017624
8,96.7348,1.08793,0.77296,0.89241,0.9351,0.78389,0.86707,0.55072,1.13842,0.80208,0.94254,0.0017228,0.0017228,0.0017228
9,108.765,1.10936,0.7468,0.89425,0.90244,0.81426,0.86739,0.52479,1.11999,0.7589,0.96936,0.0016832,0.0016832,0.0016832
10,120.241,1.07611,0.70889,0.89251,0.92743,0.80675,0.88919,0.58088,1.10445,0.75251,0.97133,0.0016436,0.0016436,0.0016436
11,132.201,1.07833,0.71697,0.89054,0.93382,0.82069,0.88231,0.56111,1.12068,0.77009,0.93062,0.001604,0.001604,0.001604
12,143.71,1.07568,0.67707,0.88643,0.94218,0.82542,0.90087,0.57224,1.13404,0.66815,0.94279,0.0015644,0.0015644,0.0015644
13,155.62,1.03328,0.66278,0.89011,0.94148,0.81493,0.87976,0.56071,1.13511,0.63961,0.93405,0.0015248,0.0015248,0.0015248
14,167.133,1.04893,0.65567,0.88464,0.95558,0.80716,0.87769,0.57753,1.04313,0.71523,0.90564,0.0014852,0.0014852,0.0014852
15,179.075,1.00921,0.61927,0.87218,0.93568,0.81885,0.89252,0.58615,1.04849,0.61964,0.89252,0.0014456,0.0014456,0.0014456
16,190.639,1.0305,0.6256,0.88159,0.93332,0.82364,0.89669,0.59693,0.99687,0.59458,0.88152,0.001406,0.001406,0.001406
17,202.771,1.02723,0.60331,0.87102,0.92303,0.84053,0.90323,0.59808,1.09977,0.61196,0.93086,0.0013664,0.0013664,0.0013664
18,214.312,1.01572,0.60365,0.87659,0.94628,0.82623,0.90236,0.56837,1.07818,0.60014,0.91379,0.0013268,0.0013268,0.0013268
19,226.31,0.99463,0.57772,0.87972,0.94564,0.81593,0.90717,0.60102,1.07437,0.59022,0.94503,0.0012872,0.0012872,0.0012872
20,237.921,0.98426,0.56937,0.87125,0.93198,0.81614,0.89594,0.59207,1.03878,0.61539,0.92905,0.0012476,0.0012476,0.0012476
21,249.941,1.00487,0.58516,0.8707,0.89845,0.84652,0.89564,0.59516,1.06101,0.58181,0.90783,0.001208,0.001208,0.001208
22,261.609,0.97974,0.56611,0.86591,0.93025,0.84615,0.90456,0.60315,1.13044,0.57876,0.9396,0.0011684,0.0011684,0.0011684
23,273.83,0.97006,0.5645,0.86464,0.9381,0.81801,0.9052,0.61351,1.06943,0.55456,0.93328,0.0011288,0.0011288,0.0011288
24,285.518,0.95763,0.56063,0.86721,0.92119,0.85553,0.91209,0.61791,1.07138,0.57925,0.92327,0.0010892,0.0010892,0.0010892
25,297.661,0.9517,0.54641,0.8607,0.93527,0.84042,0.91171,0.62425,1.02586,0.55254,0.90559,0.0010496,0.0010496,0.0010496
26,309.426,0.96436,0.55065,0.86307,0.89956,0.85701,0.90582,0.61531,1.08626,0.56534,0.94399,0.00101,0.00101,0.00101
27,321.513,0.94934,0.53887,0.86804,0.94129,0.84221,0.90523,0.60748,1.03342,0.55042,0.91417,0.0009704,0.0009704,0.0009704
28,333.203,0.95507,0.53983,0.86592,0.93183,0.84053,0.89843,0.58428,1.06403,0.55203,0.92,0.0009308,0.0009308,0.0009308
29,345.307,0.94547,0.53178,0.8607,0.8951,0.86679,0.90216,0.60128,1.06161,0.52761,0.91924,0.0008912,0.0008912,0.0008912
30,356.906,0.93487,0.51738,0.85827,0.9075,0.84671,0.90772,0.60219,1.11323,0.55927,0.92844,0.0008516,0.0008516,0.0008516
31,368.934,0.90171,0.48614,0.85786,0.91383,0.85559,0.91455,0.62449,1.04392,0.53716,0.91349,0.000812,0.000812,0.000812
32,380.614,0.91051,0.49986,0.85758,0.90366,0.86231,0.91089,0.62722,1.07398,0.57095,0.92638,0.0007724,0.0007724,0.0007724
33,392.698,0.89986,0.48782,0.85156,0.93767,0.84671,0.91325,0.63549,1.045,0.49993,0.91223,0.0007328,0.0007328,0.0007328
34,404.395,0.86894,0.48089,0.84956,0.92851,0.85291,0.91888,0.63225,1.03653,0.49579,0.9097,0.0006932,0.0006932,0.0006932
35,416.504,0.88856,0.49541,0.84013,0.91035,0.85727,0.91452,0.62625,1.02514,0.5032,0.91912,0.0006536,0.0006536,0.0006536
36,428.242,0.88523,0.48633,0.85853,0.91363,0.87054,0.92082,0.63657,1.034,0.49883,0.91386,0.000614,0.000614,0.000614
37,440.4,0.88948,0.47549,0.85603,0.9134,0.86679,0.91677,0.62069,0.98821,0.48209,0.88751,0.0005744,0.0005744,0.0005744
38,452.071,0.88843,0.47171,0.85013,0.91624,0.86201,0.92032,0.63818,1.03219,0.49262,0.90878,0.0005348,0.0005348,0.0005348
39,464.262,0.85412,0.46483,0.84547,0.92905,0.85741,0.92091,0.63604,1.02307,0.46943,0.91779,0.0004952,0.0004952,0.0004952
40,475.987,0.86289,0.4657,0.8513,0.90857,0.87627,0.91846,0.63363,1.03084,0.51061,0.92387,0.0004556,0.0004556,0.0004556
41,490.671,0.84324,0.45811,0.84918,0.92379,0.85929,0.91376,0.6334,1.0508,0.49309,0.93431,0.000416,0.000416,0.000416
42,502.398,0.84531,0.44947,0.84536,0.91295,0.85366,0.91362,0.63648,1.02556,0.53202,0.91948,0.0003764,0.0003764,0.0003764
